,Type,Onset,Duration
0,Mic1,301.5,3.25
1,Mic1,304.0,12.25
2,Mic1,317.0,-2.75
3,Mic1,314.5,2.0
4,Mic1,310.0,38.0
5,Mic1,348.25,2.75
6,Mic1,351.5,8.5
7,Mic1,360.25,0.0
8,Mic1,360.0,-59.75
9,Mic1,301.0,1.0
10,Mic1,300.0,100.0
11,Mic1,400.25,2.75
12,Mic1,23.75,16.25
13,Mic1,40.0,4.0
14,Mic1,44.5,17.0
15,Mic1,60.0,2.25
16,Mic1,64.0,2.0
17,Mic1,66.0,-5.5
18,Mic1,60.75,-60.75
19,Mic1,0.25,0.0
20,Mic1,1.0,0.0
21,Mic1,1.75,98.25
22,Mic1,100.0,20.0
23,Mic1,121.0,0.25
24,Mic1,121.5,10.5
25,Mic1,313.0,1797.0
26,Mic1,0.0,10.0
27,Mic1,10.0,0.5
28,Mic1,11.0,-11.0
29,Mic1,0.25,19.75
30,Mic1,21.0,0.0
31,Mic1,21.5,-21.25
32,Mic1,2.0,-1.25
33,Mic1,1.0,0.0
34,Mic1,0.0,4.0
35,Mic1,1.0,4.0
36,Mic1,5.0,-5.0
37,Mic1,0.5,20.75
38,Mic1,22.0,2.0
39,Mic1,24.25,6.25
40,Mic1,38.0,-38.0
41,Mic1,0.25,42.75
42,Mic1,43.25,-1.75
43,Mic1,44.0,-4.0
44,Mic1,41.0,4.0
45,Mic1,44.0,-37.5
46,Mic1,6.75,-5.75
47,Mic1,10.0,-9.75
48,Mic1,0.5,0.0
49,Mic1,1.0,17.0
50,Mic1,18.5,21.5
51,Mic1,40.25,2.75
52,Mic1,40.0,4.25
53,Mic1,44.5,15.5
54,Mic1,60.25,9.75
55,Mic1,70.0,0.5
56,Mic1,70.0,-69.0
57,Mic1,1.25,-1.25
58,Mic1,2.0,-2.0
59,Mic1,0.25,0.0
60,Mic1,0.0,0.0
61,Mic1,0.0,2.0
62,Mic1,2.5,5.5
63,Mic1,0.0,2.0
64,Mic1,2.25,11.75
65,Mic1,15.0,-5.0
66,Mic1,10.0,0.0
67,Mic1,10.0,-10.0
68,Mic1,0.25,100.25
69,Mic1,101.0,6.0
70,Mic1,100.0,1.5
71,Mic1,11.0,99.0
72,Mic1,114.0,0.0
73,Mic1,114.0,-14.0
74,Mic1,100.25,9.75
75,Mic1,110.0,-9.5
76,Mic1,101.0,1.0
77,Mic1,100.0,20.25
78,Mic1,120.0,6.0
79,Mic1,126.0,-5.5
80,Mic1,121.0,-11.0
81,Mic1,110.25,-0.25
82,Mic1,10.0,3.0
83,Mic1,13.0,-12.0
84,Mic1,1.25,-1.25
85,Mic1,0.25,40.75
86,Mic1,44.0,3.0
87,Mic1,47.0,-5.25
88,Mic1,40.0,10.0
89,Mic1,50.0,0.0
90,Mic1,51.0,-41.0
91,Mic1,10.25,90.25
92,Mic1,100.25,9.75
93,Mic1,108.0,-8.0
94,Mic1,100.0,2.0
95,Mic1,103.0,17.0
96,Mic1,120.25,-0.25
97,Mic1,122.0,18.0
98,Mic1,140.25,-0.25
99,Mic1,140.0,21.0
100,Mic1,161.0,9.0
101,Mic1,170.0,-69.5
102,Mic1,100.0,80.0
103,Mic1,180.25,-179.25
104,Mic1,0.0,4.25
105,Mic1,6.0,2.5
106,Mic1,8.0,3.0
107,Mic1,11.25,-11.25
108,Mic1,0.25,9.75
109,Mic1,10.0,-9.25
110,Mic1,2.0,3.0
111,Mic1,5.25,13.5
112,Mic1,80.0,-80.0
113,Mic1,0.25,0.0
114,Mic1,0.0,2.0
115,Mic1,2.0,-2.0
116,Mic1,206.0,0.75
117,Mic1,200.0,0.0
118,Mic1,200.25,0.25
119,Mic1,200.0,0.0
120,Mic1,200.25,10.5
121,Mic1,212.0,-8.0
122,Mic1,204.0,2.0
123,Mic1,206.25,-6.25
124,Mic1,200.0,2.0
125,Mic1,202.25,1.75
126,Mic1,204.0,-4.0
127,Mic1,200.0,-193.25
128,Mic1,0.0,10.25
129,Mic1,11.0,9.0
130,Mic1,20.25,15.75
131,Mic1,36.0,-26.0
132,Mic1,11.0,-1.0
133,Mic1,11.0,30.0
134,Mic1,40.0,0.0
135,Mic1,40.25,-39.25
136,Mic1,4.0,1.0
137,Mic1,5.0,-4.0
138,Mic1,0.0,0.0
139,Mic1,202.0,-2.0
140,Mic1,201.0,2.0
141,Mic1,203.25,7.5
142,Mic1,218.0,22.0
143,Mic1,241.0,2.0
144,Mic1,243.25,17.75
145,Mic1,261.25,-54.75
146,Mic1,200.25,-0.25
147,Mic1,200.0,-199.0
148,Mic1,1.0,5.0
149,Mic1,0.5,1.5
150,Mic1,2.0,2.0
151,Mic1,4.25,-4.25
152,Mic1,0.0,0.0
153,Mic1,0.0,10.0
154,Mic1,10.25,0.75
155,Mic1,11.25,-0.25
156,Mic1,11.0,77.0
157,Mic1,88.0,2.0
158,Mic1,90.5,9.5
159,Mic1,100.0,0.0
160,Mic1,100.25,3.75
161,Mic1,8306.0,-6.0
162,Mic1,8300.25,8.25
163,Mic1,8309.0,1.0
164,Mic1,8312.0,-2.0
165,Mic1,8310.0,0.0
166,Mic1,8310.75,-10.25
167,Mic1,8301.0,0.0
168,Mic1,8300.0,-299.75
169,Mic1,8002.0,-2.0
170,Mic1,8000.25,5.75
171,Mic1,8000.0,8.25
172,Mic1,8000.0,10.5
173,Mic1,8010.0,16.5
174,Mic1,8027.0,1.5
175,Mic1,8030.0,-30.0
176,Mic1,8000.5,40.75
177,Mic1,8040.0,0.0
178,Mic1,8040.25,-0.25
179,Mic1,8040.25,-28.25
180,Mic1,8012.0,90.5
181,Mic1,8300.0,10.0
182,Mic1,8300.0,20.0
183,Mic1,8320.25,-0.25
184,Mic1,8320.0,20.0
185,Mic1,8344.0,2.0
186,Mic1,8346.25,14.25
187,Mic1,8361.0,-1.0
188,Mic1,8361.0,13.5
189,Mic1,8375.0,-64.5
190,Mic1,8311.0,0.0
191,Mic1,8380.0,-379.0
192,Mic1,8004.0,4.5
193,Mic1,8008.75,-8.5
194,Mic1,8001.0,0.25
195,Mic1,8001.5,3.5
196,Mic1,8005.5,-5.5
197,Mic1,8000.5,-0.5
198,Mic1,8000.75,3.25
199,Mic1,8004.0,1.25
200,Mic1,8006.0,-6.0
201,Mic1,8000.0,0.0
202,Mic1,8000.5,0.5
203,Mic1,8000.0,14.0
204,Mic1,0.5,0.0
205,Mic1,0.25,0.75
206,Mic1,1.0,6.0
207,Mic1,7.0,15.0
208,Mic1,22.25,-2.25
209,Mic1,20.5,-18.25
210,Mic1,3.0,-3.0
211,Mic1,1.0,19.0
212,Mic1,20.0,8.0
213,Mic1,28.5,-27.75
214,Mic1,0.0,3.5
215,Mic1,0.0,400.0
216,Mic1,400.0,0.0
217,Mic1,10.25,0.25
218,Mic1,10.75,-10.25
219,Mic1,0.0,21.0
220,Mic1,21.5,0.25
221,Mic1,20.0,26.25
222,Mic1,46.0,-5.5
223,Mic1,48.0,12.25
224,Mic1,61.0,4.0
225,Mic1,65.75,-65.75
226,Mic1,0.5,82.75
227,Mic1,83.5,-2.0
228,Mic1,80.25,-80.25
229,Mic1,11.5,2.5
230,Mic1,14.0,-3.75
231,Mic1,10.0,0.0
232,Mic1,11.0,90.0
233,Mic1,101.0,0.5
234,Mic1,102.0,-2.0
235,Mic1,100.25,4.75
236,Mic1,105.25,-5.25
237,Mic1,100.5,1.25
238,Mic1,100.0,8.5
239,Mic1,109.0,291.0
240,Mic1,400.25,1.25
241,Mic1,0.75,0.5
242,Mic1,20.0,0.5
